account,classification,trades_count,total_pnl,avg_pnl,win_rate,avg_notional
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,49,0.0,0.0,0.0,2260.9597959183675
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,89,0.0,0.0,0.0,3332.177640449438
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,42,0.0,0.0,0.0,1682.2211904761903
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,342,60544.304874,177.03013121052632,0.6900584795321637,22374.739152046783
0x513b8629fe877bb581bf244e326a047b249c4ff1,Unknown,11714,779878.250342,66.57659640959535,0.39892436400887826,35235.30744749872
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,3,0.0,0.0,0.0,249.86333333333332
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,12,1060.851032,88.40425266666666,1.0,135.47333333333333
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,78,690.38625,8.85110576923077,0.1794871794871795,715.2125641025641
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,52,367.217295,7.061871057692307,0.25,1440.4057692307692
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Unknown,830,106612.762195,128.44911107831325,0.4602409638554217,716.8609156626507
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,141,0.0,0.0,0.0,11569.857730496453
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Unknown,1449,429355.565915,296.3116396928916,0.3795721187025535,6793.064858523119
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,6,0.0,0.0,0.0,6065.75
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,17,0.0,0.0,0.0,1397.385294117647
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,198,197294.93561,996.4390687373736,0.5656565656565656,2936.8380808080806
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,62,0.0,0.0,0.0,1478.1556451612903
